,date-time,home-team,away-team,home-spread,away-spread,home-odds,away-odds,over-odds,under-odds,total
0, 4/7/23  7:00 PM ,Detroit Pistons,Indiana Pacers,+7.0(-110),-7.0(-110),+230,-280,O231.5(-110),U231.5(-110),
1, 4/7/23  7:00 PM ,Houston Rockets,Houston Rockets,-4.5(-110),+4.5(-110),-185,+160,O229.0(-110),U229.0(-110),
2, 4/7/23  7:00 PM ,Miami Heat,Miami Heat,-6.5(-110),+6.5(-110),-270,+220,O218.0(-110),U218.0(-110),
3, 4/7/23  7:30 PM ,Orlando Magic,Brooklyn Nets,+11.0(-110),-11.0(-110),+425,-600,O218.5(-110),U218.5(-110),
4, 4/7/23  7:30 PM ,Philadelphia 76ers,Atlanta Hawks,+11.0(-110),-11.0(-110),+410,-585,O236.0(-110),U236.0(-110),
5, 4/7/23  7:30 PM ,Toronto Raptors,Boston Celtics,+1.0(-110),-1.0(-110),+105,-125,O222.5(-110),U222.5(-110),
6, 4/7/23  8:00 PM ,Memphis Grizzlies,Memphis Grizzlies,-8.0(-110),+8.0(-110),-320,+260,O230.0(-110),U230.0(-110),
7, 4/7/23  8:00 PM ,New York Knicks,New Orleans Pelicans,+8.0(-110),-8.0(-110),+275,-350,O223.5(-110),U223.5(-110),
8, 4/7/23  8:30 PM ,Chicago Bulls,Dallas Mavericks,+11.0(-110),-11.0(-110),+390,-550,O225.5(-110),U225.5(-110),
9, 4/7/23  10:00 PM ,Golden State Warriors,Golden State Warriors,-9.5(-110),+9.5(-110),-400,+300,O235.0(-110),U235.0(-110),
10, 4/7/23  10:30 PM ,Phoenix Suns,Los Angeles Lakers,+10.0(-110),-10.0(-110),+390,-550,O226.5(-110),U226.5(-110),
